Word,Its more frequent meanings,Type
tēpu,table,Formal
tērā,"that, yonder",Formal
tere,"to flow, float, move quickly; fast",Formal
tētahi,"a, one specific thing",Formal
tētehi,"a, one specific thing (variant of tētahi)",Formal
tī,tea,Formal
tī,cabbage tree,Formal
tiaki,"to look after, to care for",Formal
tihi,summit,Formal
tihi,topknot,Formal
tika ,"to be right, correct, straight, in order",Formal
tikanga,"custom, habit, agreed way of doing things",Formal
tikanga ,"reason, meaning",Formal
tiki,to fetch,Formal
tiki atu ," go and fetch, bring",Formal
tiki mai,"come and fetch, take away",Formal
tīkina,tiki + passive suffix -na (note the first i is lengthened),Formal
tīma,team,Formal
tīmata,"to begin, to start",Formal
tīmatanga,beginning,Formal
tīmata, + nominal suffix -nga,Formal
tina,"dinner, lunch",Formal
tinana,"body, trunk, torso",Formal
tini,"very many, numerous, plenty; multitude, throng",Formal
tīni,to change,Formal
tinihanga,"to decieve, cheat",Formal
tinihanga,"to trick, amuse with trickery",Formal
tino,very,Formal
tipu,"to grow, develop",Formal
tipu,"a plant, shoot",Formal
tipua,a type of taniwha,Formal
tipua,"strange, unusual",Formal
tipua,a person of high status,Formal
tipuna ,"grandparent, ancestor",Formal
tīpuna,grandparents (plural form of tipuna),Formal
tira,travelling party,Formal
tira,group or row of people,Formal
tiriti,treaty,Formal
tiriti,street,Formal
tiro ,to look,Formal
tirohanga,tiro + nominal suffix -hanga,Formal
tirohia,tiro + passive suffix -hia,Formal
tirotiro,"to look about, to investigate",Formal
titiro ,to look at,Formal
tō,"your, neutral, one person, singular",Formal
tō,stove,Formal
tō,to drag,Formal
toa,shop,Formal
toa,brave,Formal
toa,"to win, come first; winner",Formal
toa,male animal,Formal
toe,"to remain, be left over",Formal
toenga,"leftovers, remnants",Formal
tohorā,whale,Formal
tohu ,"a sign, mark",Formal
tohu ,"to indicate, point out",Formal
tohu ,"a qualification, eg degree",Formal
tohua,tohu + passive suffix -a,Formal
tohunga,"expert, priest",Formal
tohutohu,"to instruct; to guide, direct; instructions, directions",Formal
toi,"origin, source; native, indigenous",Formal
toi,"art, knowledge",Formal
toka,rock,Formal
tōkena,"stockings, socks",Formal
tokomaha,many (of people),Formal
tokorua,two (of people),Formal
tokotoru,three (people),Formal
tōku,"my, ō category possession, singular",Formal
tomo,"to enter, go into",Formal
tōna,"his / her, ō category possession, singular",Formal
tonga,south,Formal
tono,"to send, to command",Formal
tono,"to ask for, to request, to demand",Formal
tono,to apply for,Formal
tonoa,tono + passive suffix -a,Formal
tonu,still,Formal
tonutia,tonu + passive suffix -tia,Formal
toro,"to stretch out, to extend",Formal
toro,to visit,Formal
toroa,albatross,Formal
toru,three,Formal
tote,salt,Formal
tōtika,"straight, direct, right",Formal
toto,blood,Formal
tōu,"your, ō category possession, singular",Formal
tū,to stand,Formal
tū,to be wounded; a wound,Formal
tua,beyond,Formal
tuahine,"sister, of a male",Formal
tuakana,older sibling of the same sex ,Formal
tuanui,roof,Formal
tuarā,back,Formal
tuarua,second,Formal
tuatahi,first,Formal
tuatoru,third,Formal
tuawhā,fourth,Formal
tuhi ,"to write, to draw",Formal
tuhi ,"to indicate, point out",Formal
tuhia,tuhi + passive suffix -a,Formal
tuhinga,"writing, text",Formal
tuhituhi ,"to write, draw",Formal
tuhituhinga,"writing, text",Formal
tuki,"to hit, to knock, to beat, to pound",Formal
tuku,to allow,Formal
tuku,to send,Formal
tuku,to let something down; to hand something down,Formal
tuku ,"to let go, to give up",Formal
tuku ,"to put off, to leave aside",Formal
tukua ,tuku + passive suffix -a,Formal
tukuna,tuku + passive suffix -na,Formal
tukutuku,woven wall panels,Formal
tukutuku,spider web,Formal
tūmanako,"to hope for, anticipate, expect",Formal
tumeke,"to take fright, surprise",Formal
tuna,eel,Formal
tungāne,"brother, of a female",Formal
tunu ,"to cook, roast",Formal
tūpato,"to be careful; caution, cautious",Formal
tupu,"to grow, develop; a plant, shoot",Formal
tūpuna,grandparents (plural form of tupuna),Formal
tūranga,"position, job",Formal
tūranga,"stopping place, as in: tūranga pahi bus stop ",Formal
ture,"law, rule",Formal
tūrehu,fairy,Formal
turituri,be quiet! noisy,Formal
tūru,"chair, seat, stool",Formal
tūtaki,to meet,Formal
tūtaki,"to close up, to block",Formal
tutuki,"to complete, to achieve",Formal
tūturu,"real, natural, authentic",Formal
tūturu,"fixed, permanent, definite",Formal
ū,"to land, to reach land",Formal
ū,"to be firm, fixed",Formal
ū,"breast, udder",Formal
ua,to rain; rain,Formal
uaua,difficult,Formal
uaua,"muscle, vein, artery",Formal
uhi,to cover,Formal
uhia,uhi + passive suffix -a,Formal
ui,"to ask, enquire",Formal
uira,lightning; to flash,Formal
uku,clay,Formal
uku,to wash,Formal
umere ,"to shout (in wonder, in appreciation)",Formal
upoko,head,Formal
upoko,chapter of a book,Formal
upoko,verse of a song,Formal
uri,"descendant, offspring",Formal
uru,"to enter, to go into",Formal
uru,west,Formal
uta,"shore, land as opposed to sea or water",Formal
uta,to load,Formal
utu,"cost, price; to pay for",Formal
uwha,female animal,Formal
wā,time,Formal
wā,"place, space, area",Formal
waea,telephone,Formal
waea,wire,Formal
waenga,"middle, dividing line",Formal
waenganui,"middle, centre, between",Formal
waewae,foot,Formal
waha,mouth,Formal
waha,to carry on the back,Formal
waha,"load, burden",Formal
wāhanga,"part, portion, section",Formal
wāhanga,"chapter, episode",Formal
wāhi,"place, locality",Formal
wāhi,"to break, to split, to break open",Formal
wāhi,"part, portion",Formal
wahie,driftwood,Formal
wahine ,"woman, wife",Formal
wāhine ,"women, wives (plural form of wahine)",Formal
waho,"out, outside, the outside",Formal
Wai?,who?,Formal
wai,water,Formal
wai,juice,Formal
waiariki,hot spring,Formal
waiata,to sing,Formal
waihanga,"to make, build something",Formal
waiho,to leave something somewhere,Formal
waiho,"to remain, rest",Formal
waimarie,"lucky, fortunate; luck, good fortune",Formal
wairua,spirit,Formal
waka,canoe,Formal
waka,car,Formal
waka,"vehicle (land, air and sea)",Formal
wānanga,"place of learning, as in: whare wānanga",Formal
wao,forest,Formal
wareware,to forget; forgetful,Formal
waru,eight,Formal
waru,"to scrape, to peel",Formal
wātea,"to be clear, unoccupied, free of obstruction",Formal
wawata,"to long for, yearn for",Formal
wawe,"early, soon, quickly",Formal
wehe ,"to separate, divide",Formal
wehenga,"departure, leaving",Formal
wehenga,"part, division, separation",Formal
wehi,to be afraid,Formal
wehi,terrible,Formal
weka,"weka, a native woodhen",Formal
wera,"to burn; burnt; hot, heat",Formal
wero,to pierce,Formal
wero,to challenge; formal challenge at a welcome ceremony,Formal
whā,four,Formal
whaea,"mother, aunt",Formal
whai,"to follow, to chase",Formal
whāia,whai + passive suffix -a (note lengthening of first vowel),Formal
whāinga,"objective, aim, purpose",Formal
whāiti,"narrow, crowded together",Formal
whakaae,to agree,Formal
whakaahua,to take photos; photograph,Formal
whakaari,"to display, to exhibit ",Formal
whakaari,"play, drama, performance",Formal
whakaaro,to think; thought,Formal
whakaata,"to display, show",Formal
whakaata,mirror,Formal
whakaatu,"to display, show, demonstrate",Formal
whakaaturanga ,display,Formal
whakaaturanga ,television programme,Formal
whakahaere,"to run something, manage, make something go ",Formal
whakahau,"to command, order",Formal
whakahau,to encourage,Formal
whakaheke,"to decrease, drop, lower",Formal
whakahīhī,arrogant,Formal
whakahirahira,"great, magnificent, wonderful, very important",Formal
whakahoki,"to return, to reply",Formal
whakahokia,whakahoki + passive suffix -a,Formal
whakairo,"to carve, a carving",Formal
whakakī,to fill something,Formal
whakamā,"to be embarrassed, ashamed",Formal
whakamahi,"to operate, to make something work",Formal
whakamahi,"to put someone to work, to make someone work",Formal
whakamahia,whakamahi + passive suffix -a,Formal
whakamāori,to translate into Māori,Formal
whakamārama,to explain,Formal
whakamātau,"to test, examine",Formal
whakamātautau,"examination, test",Formal
whakamau,to put on,Formal
whakamau,"to fix, fasten",Formal
whakamaua,whakamau + passive suffix -a,Formal
whakamīharo,"amazing, astonishing",Formal
whakamua,"frontward, towards the front",Formal
whakamuri,towards the back,Formal
whakamutunga,"ending, conclusion",Formal
whakangā,to rest,Formal
whakangahau,"to entertain, to amuse",Formal
whakanui,"to honour, to praise",Formal
whakanui,to enlarge,Formal
whakaora,"to rescue, to cure",Formal
whakapae,"lying crosswise, horizontal",Formal
whakapai,"to improve, to fix up",Formal
whakapaipai,"to decorate, to adorn",Formal
whakapakari,to strengthen,Formal
whakapapa,genealogy,Formal
whakapiri,"to cling to, stick to",Formal
whakapono,to believe; faith,Formal
whakaputa,to produce,Formal
whakaputa,"to reveal, to publish",Formal
whakaputa,"to make something come out, to appear",Formal
whakararo,downwards,Formal
whakarite,to prepare,Formal
whakarite,"to arrange, to put in order",Formal
whakarite,to compare,Formal
whakaritea,whakarite + passive suffix -a,Formal
whakarongo,to listen,Formal
whakarunga,upwards,Formal
whakatā,to rest,Formal
whakataetae,competition,Formal
whakatakoto,to lay something down,Formal
whakatata,to come closer to,Formal
whakatau,to decide,Formal
whakatika ,"to straighten, to correct, to fix",Formal
whakatikatika,"to rearrange, to put in order, to fix",Formal
whakatipu,to raise,Formal
whakatoi,to give cheek,Formal
whakatū,"to establish, to put someone or something in position",Formal
whakatū,to stand something up,Formal
whakatūpato,"to warn, to caution",Formal
whakatūria,whakatū + passive suffix -ria,Formal
whakauru,"to enter, to join, to enrol",Formal
whakautu,"to reply, to respond",Formal
whakawhiti,to cross,Formal
whāki,"to reveal, to disclose, to confess",Formal
whānau ,family,Formal
whānau ,to be born / be born,Formal
whanaunga,"relative, relation",Formal
whanga,bay,Formal
whanga,to wait,Formal
whāngai,"to feed, to foster",Formal
whānui,"broad, wide",Formal
whara,to be injured,Formal
whārangi,page,Formal
whare,"house, building",Formal
wharekura,Māori-medium secondary school,Formal
whāriki,"mat, carpet, rug",Formal
whatu,eye,Formal
whatu,stone,Formal
whatu,"to weave, knit",Formal
whāwhā,"to fiddle with, to touch",Formal
whawhai,to fight; a battle,Formal
whea ,where? (variant of hea),Formal
whenua,land,Formal
whero,red,Formal
whetū,star,Formal
whiti,to cross,Formal
whitu,seven,Formal
whiu,"to throw, to fling",Formal
whiu,to whip,Formal
whiu,to be satisfied,Formal
whiua,whiu + passive suffix -a,Formal
whiwhi,"to get, to acquire, to win",Formal
whiwhi,to be in possession of,Formal
whutupōro,"football, rugby",Formal
wiki,week,Formal
wīra,wheel,Formal
wiriwiri,"to tremble, to shake, to quiver",Formal
