Word,Its more frequent meanings,Type
inu,to drink,Formal
ipu,"container, bowl",Formal
ira,dot,Formal
ira,gene,Formal
irirangi ,radio (usually as reo irirangi),Formal
iti,"small, little",Formal
iwa,nine,Formal
iwi,tribe,Formal
ka,Verbal particle with a range of meanings; not directly translated with an English word,Formal
kā,"to burn, be alight",Formal
kaha,"strong, able",Formal
kāhore,Negative used for verb sentences – not (variant of kāore),Formal
kahu,"cloak, cape, covering",Formal
kahurangi,blue (colour),Formal
kahurangi,woman of high status or rank,Formal
kai,food,Formal
kaiako,teacher,Formal
kaikōrero,"speaker, orator",Formal
kaimahi,worker,Formal
kaimoana,seafood,Formal
kainga,kai + passive suffix -nga,Formal
kāinga,home,Formal
kaipuke,ship,Formal
kaipūtaiao,scientist,Formal
kaitā,"big, sturdy of build",Formal
kaitākaro,"player, sportsperson",Formal
kaitiaki,"caretaker, caregiver ",Formal
kaituhi,"writer, author",Formal
kaiwhakahaere,"manager, organiser",Formal
kākahu,"clothing, garment",Formal
kākano,seed,Formal
kakara,"scent, smell",Formal
kākāriki,green,Formal
kakau,handle,Formal
kake,to climb,Formal
kakī,neck,Formal
kamo,eye,Formal
kānga,corn,Formal
kanikani,"dance, to dance",Formal
kano,colour,Formal
kanohi,face,Formal
kāo,no!,Formal
kāore,Negative used for verb sentences – not,Formal
kapa,"group, row of people, as in: kapa haka",Formal
kāpata,cupboard,Formal
kāpene,captain,Formal
kapi,to be covered or occupied (of space),Formal
kāpia,glue,Formal
kapu,cup,Formal
kapua,cloud,Formal
kara,colour,Formal
karāhe,"glass, mirror",Formal
karaka,clock,Formal
karaka,orange (from the colour of ripe karaka berries),Formal
karakia,"prayer, to pray",Formal
karanga,to call,Formal
karani,"granny, grandmother",Formal
kararehe,animal,Formal
kare,"Term of address: E kare, dear ",Formal
kare,ripple,Formal
kare,"stove, heater",Formal
kāre,"Negative word – not, none",Formal
karere,messenger,Formal
kāreti,college,Formal
kāreti,carrot,Formal
kāri,card,Formal
kāri,playing card,Formal
karu,eye,Formal
kata,to laugh,Formal
kātahi,then,Formal
katakata,"to laugh and laugh, laughter",Formal
kāti,Stop! As in: Kāti te tangi – Stop crying,Formal
katoa,all,Formal
kau,"manner particle, as in: kāore kau, kāre kau, ehara kau",Formal
kau,cow,Formal
kau,swim,Formal
kaua,"Negative word, do not, eg: Kaua e tangi – Don’t cry",Formal
kauaka,"Negative word, do not (variant of kaua), eg:",Formal
kauhoe,to swim,Formal
kaukau,to bathe,Formal
kaumātua,elder; elderly,Formal
kaupapa,"topic, theme",Formal
kaute,to count,Formal
kauwhata,graph,Formal
kāwana,"government, governor",Formal
kāwanatanga,government,Formal
kawe,"to carry, convey",Formal
kawea,kawe + passive suffix -a,Formal
kawenga,"load, luggage, burden ",Formal
kāwhe,calf,Formal
kē,"already, instead",Formal
kēhua,ghost,Formal
kei,"Various uses, meanings, eg:",Formal
keke,cake,Formal
kekeno,seal,Formal
kēmu,game,Formal
kete,"basket, kit",Formal
ki,"Has various uses and meanings, eg: to, at",Formal
kī,to say,Formal
kī,to be full,Formal
kia,"Various uses, meanings. Often not translatable by an English word.",Formal
kīhai,"Negative word – not, used with the past tense",Formal
kīia,kī + passive suffix -ia,Formal
kiia,"crowded, full up",Formal
kimi,"to look for, seek",Formal
kimihia,kimi + passive suffix -hia,Formal
kino,bad,Formal
kiore,rat,Formal
kiri,skin,Formal
kirikiri,sand,Formal
kiromita,kilometre,Formal
kite,to see,Formal
kitea,kite + passive suffix -a,Formal
kitenga,"observation, seeing",Formal
kiwi,"kiwi, native bird",Formal
ko,Various uses; not usually translatable with an English word,Formal
kō,"at a distance, yonder",Formal
koa,please,Formal
koa,happy,Formal
koe,"you, one person",Formal
koha,gift,Formal
kōhanga,nest,Formal
kōhatu,stone,Formal
kohi,"to collect, gather together",Formal
kohikohi,"to collect, gather together",Formal
kōhua,to boil; cooking pot,Formal
koi,sharp,Formal
koia,"it is, so",Formal
koina,that is (near listener),Formal
koinei,this is,Formal
kōiwi,bone,Formal
kōkā,"mother, aunt",Formal
kōkiri,"to charge, rush at",Formal
konā,"there, by listener",Formal
konei,"here, by speaker",Formal
kongakonga,"small piece, fragment",Formal
kōpae,disc,Formal
kore,"zero, nothing",Formal
kōrere,tap,Formal
kōrero,"to talk, speak",Formal
kōrerorero,to discuss,Formal
kōrerotia,kōrero + passive suffix -tia,Formal
koro,"Term of address for an elderly man, grandfather: E koro",Formal
koroua,"elderly man, grandfather",Formal
kōrua,"you, two people",Formal
kotahi,one,Formal
kōtiro,girl,Formal
kōtuku,white heron,Formal
koutou,"you, three or more people",Formal
kōwhai,yellow (colour),Formal
kōwhai,"kōwhai, a native tree",Formal
kua,Verbal particle; indicating completed action or movement into a state,Formal
kuhu,"to enter, to go or come in",Formal
kui,"Term of address for an elderly woman, E kui.",Formal
kuia,"elderly woman, grandmother",Formal
kuini,queen,Formal
kukume,"to pull, to drag",Formal
kūmara,"kūmara, sweet potato",Formal
kūpenga,net,Formal
kupu,word,Formal
kura,school,Formal
kura,red,Formal
kura,red feather,Formal
kura,treasured item,Formal
kurī,dog,Formal
mā,"Various uses and meanings, eg by, for; plural marker and others, as in: I haere mai a Mere mā.",Formal
mā,white,Formal
